utterance	labels
  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)  Oh yeah, I'm sure. (Flashback resumes with Phoebe doing a voiceover.) And all of a sudden his hands weren't the problem anymore. (Flashback continues: Paolo rolls over, Phoebe looks down, then quickly looks up, bites lip, shakes her head)  Oh, boy scouts could have camped under there.  Uma Thurman.	0
  Yeah.  Oh, ah with who?	0
  Hey pal.  Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!  Oh yeah, that's right, look I got us a new goldfish. He's a lot fiestier that the last one.	1
  No, uh-uh, I'm just, I'm nervous. So, you know what, maybe if I just, if I picture them all in their underwear.	1
  Yes because uh, you look so young.  NO! No, I'll take that for ya.  Ok, think, what would Jack and Chrissy do?	0
  Hey, the ad alone cost 300 bucks!  What kind of profit is that?! And you call yourself an accountant.  Oh. What do you do?	1
  Hey.  I know. How could we have let this happen?  Ugh! Well, y'know, we were away...  I blame London.  So look umm, while we're st-still in London, I mean, we can keep doing it right?  Only here.  I'll meet you there in two minutes.  (impatiently) Now?  Oh, I-I don't know.  Just uh, do the right thing. (Uses some breath spray)  Toe the line. Thread the needle. Think outside the box! (Tries to leave, but is stopped by Rachel.)  Wait. Rachel, no, he's married. Married! If you don't realise that, I can't help you.	1
  What?  I don't even have a 'pl'.	1
  Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents.  Very nice touch.  Unbelievable.	1
  No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore.  Maybe that's all we do, what about Julie?  Well, you have been in our lives for nearly two months now and we don't really know you. I mean, who is Julie? I mean, what do you like, what don't you like? We wanna hear everything.  So. I mean, who here does not have the time to get to know Julie?	0
  Hey.  Hey listen, I'm sorry about what happened. . .  I know. Yeah.  No, we're alright.  Plastic spoons. Great.  These'll go great in my new place. You know, 'till I get real ones.  Well, I can't use these forever. I mean, let's face it, they're no friend to the environment.  I'm movin' out like we talked about.  Well, it was a fight. . . based on serious stuff, remember. About how I never lived alone or anything. I just think it would be good for me, ya know, help me to grow or. . . whatever.  Hey, are you cool with this. I mean, I don't want to leave you high and dry.  Woah. Why do you get to keep the table?	1
  Hey Mon!	1
  (Walks up with her guitar) Hey Rach.  Hello.  Going to the hospital tonight?  No, you?  Okay, maybe it was a trick question. (Plays a few chords) Um, Rachel can we do this now?	0
  (getting an idea) Hey, y'know what a really good rainy day game is?  I mean naked game. Strip poker, we should totally play strip poker.  Come on! When you go away, you-you have to play, it's like a law!	1
  That's it.  Have we talked about the possibility of multiple births?  No, I'm getting three separate heartbeats.  Doctors are wrong all the time.	1
  Hey, Felicity.  Yeah.  (In a New York accent.) Fuggetaboutit. (She giggles.) How you doin?  Oh, yeah.	1
  Did Joey say what he was gonna go when he left?  I don't know. Who would I have to sleep with?  Why would I have to sleep with you?	1
  You can not do this.  Roger wants to take her out tomorrow night.  But Phoebe, you can go out with a creepy guy any night of the year. I know I do.	1
  Hey.  How long did you think this barbecue was gonna last?  Jeez, you say one thing, and...  Oh, let me see! (takes the picture)  Hi, Ben. I'm your father. I am... the head. Aaaaaahhhh.... (puts picture down, sees Ross staring at her) Alright, this barbecue is gonna be very fun.	1
  You said, you wanna come in for some lemonade?  Whoa, ah!! We're you just gonna give me some lemonade?	1
  (laughs) Thank you.	1
