	word	A	E	C	N	O	nnon
0	Naive	0.26	-0.2	-0.21	0.12	-0.18	
1	Altruistic	0.25	0.0	-0.03	-0.06	0.22	
2	Compliant	0.24	-0.19	-0.02	0.01	-0.04	
3	Natural	0.23	0.09	0.03	-0.17	0.14	
4	Suggestible	0.17	0.0	-0.06	0.07	-0.16	
5	Selfless	0.13	-0.12	0.0	-0.12	0.0	
6	Cold	-0.5	-0.33	0.03	-0.02	0.1	
7	Harsh	-0.5	0.03	0.06	0.08	-0.05	
8	Rude	-0.5	0.08	-0.15	0.0	0.06	
9	Unsympathetic	-0.48	-0.14	-0.01	-0.16	0.01	
10	Antagonistic	-0.47	-0.09	-0.09	0.19	-0.02	
11	Abusive	-0.46	0.01	-0.11	-0.03	-0.11	
12	Rough	-0.45	0.16	0.03	-0.23	-0.11	
13	Inconsiderate	-0.43	-0.06	-0.29	-0.03	0.05	
14	Egotistical	-0.42	0.12	-0.09	0.18	0.09	
15	Combative	-0.42	0.19	0.07	0.04	-0.09	
16	Callous	-0.41	-0.03	0.04	-0.11	-0.21	
17	Domineering	-0.41	0.4	0.15	0.1	-0.02	
18	Impolite	-0.41	0.0	-0.25	-0.17	0.15	
19	Belligerent	-0.41	0.09	-0.03	0.11	-0.11	
20	Ruthless	-0.41	0.09	0.01	-0.07	-0.16	
21	Coarse	-0.41	0.01	-0.13	-0.1	-0.17	
22	Abrupt	-0.41	0.12	-0.1	0.11	0.07	
23	Insincere	-0.4	-0.08	-0.11	0.01	-0.07	
24	Cruel	-0.4	0.0	-0.04	-0.06	0.0	
25	Unkind	-0.4	-0.14	-0.09	-0.12	0.01	
26	Insensitive	-0.39	-0.09	-0.04	-0.27	-0.02	
27	Impersonal	-0.38	-0.31	0.06	-0.07	-0.02	
28	Scornful	-0.38	-0.09	-0.04	0.19	-0.04	
29	Uncharitable	-0.38	-0.14	0.0	0.0	-0.01	
30	Cynical	-0.36	-0.17	-0.11	0.04	0.19	
31	Bitter	-0.35	-0.21	-0.06	0.27	0.06	
32	Uncooperative	-0.35	-0.02	-0.16	0.05	0.04	
33	Demanding	-0.34	0.19	0.15	0.31	0.0	
34	Egocentric	-0.34	0.04	-0.12	0.13	0.12	
35	Conceited	-0.34	0.11	-0.12	0.18	0.16	
36	Bigoted	-0.34	0.02	-0.07	0.05	-0.17	
37	Intolerant	-0.34	0.04	0.04	0.28	-0.08	
38	Unforgiving	-0.34	-0.12	-0.02	0.13	0.09	
39	Disrespectful	-0.33	0.0	-0.31	-0.14	0.23	
40	Tough	-0.33	0.15	0.13	-0.24	-0.05	
41	Sly	-0.33	0.16	0.04	-0.01	0.0	
42	Stubborn	-0.33	0.07	-0.04	0.23	0.05	
43	Greedy	-0.33	-0.05	-0.12	0.27	0.0	
44	Argumentative	-0.32	0.16	-0.02	0.22	0.01	
45	Bullheaded	-0.32	0.15	-0.08	0.12	0.03	
46	Boastful	-0.32	0.29	-0.1	0.17	-0.14	
47	Critical	-0.32	-0.01	0.06	0.31	0.17	
48	Rebellious	-0.3	0.15	-0.24	0.08	0.29	
49	Deceitful	-0.3	0.03	-0.15	0.07	-0.06	
50	Sarcastic	-0.3	0.03	-0.09	0.16	0.14	
51	Underhanded	-0.29	0.08	-0.08	-0.05	-0.16	
52	Vindictive	-0.29	0.03	0.05	0.11	-0.28	
53	Suspicious	-0.29	-0.18	0.05	0.24	-0.04	
54	Devious	-0.29	0.16	-0.1	0.09	-0.11	
55	Thoughtless	-0.29	-0.07	-0.26	-0.09	0.0	
56	Ungracious	-0.29	-0.16	-0.19	-0.15	0.01	
57	Prejudiced	-0.28	-0.01	-0.03	0.07	-0.08	
58	Uncouth	-0.28	0.02	-0.2	-0.18	-0.08	
59	Tactless	-0.27	-0.01	-0.21	-0.06	-0.15	
60	Manipulative	-0.27	0.16	0.08	0.13	0.02	
61	Cunning	-0.27	0.22	0.09	-0.06	0.02	
62	Opinionated	-0.26	0.22	0.07	0.11	0.03	
63	Unruly	-0.26	0.22	-0.25	-0.07	-0.02	
64	Rigid	-0.26	-0.11	0.24	0.01	-0.18	
65	Obstinate	-0.26	0.03	-0.05	0.24	0.09	
66	Stingy	-0.25	-0.13	0.04	0.22	0.01	
67	Nonreligious	-0.25	-0.08	-0.16	-0.17	0.19	
68	Smug	-0.24	0.01	0.01	0.1	-0.01	
69	Skeptical	-0.24	-0.23	0.03	0.11	0.22	
70	Vain	-0.23	0.05	-0.13	0.21	0.16	
71	Irreverent	-0.18	-0.05	-0.14	-0.11	0.09	
72	Crafty	-0.16	0.11	0.06	-0.1	-0.04	
73	Masochistic	-0.14	-0.08	-0.06	-0.01	-0.08	
74	Self-seeking	-0.11	0.05	0.04	0.07	0.08	
75	Extroverted	0.06	0.64	-0.07	-0.01	0.07	
76	Talkative	0.09	0.62	-0.15	0.13	-0.07	
77	Aggressive	-0.3	0.61	0.09	0.0	0.02	
78	Sociable	0.27	0.59	-0.01	-0.04	-0.07	
79	Social	0.25	0.58	-0.04	0.0	-0.08	
80	Assertive	-0.15	0.53	0.15	-0.08	0.14	
81	Bold	-0.18	0.53	0.03	-0.19	0.05	
82	Verbal	-0.03	0.53	-0.08	0.05	0.11	
83	Enthusiastic	0.29	0.5	0.02	-0.03	-0.01	
84	Spirited	0.23	0.49	-0.01	-0.02	0.1	
85	Confident	-0.07	0.49	0.26	-0.32	0.1	
86	Communicative	0.25	0.49	0.04	-0.02	0.1	
87	Magnetic	0.22	0.48	-0.02	-0.05	0.17	
88	Energetic	0.16	0.48	0.12	-0.13	0.02	
89	Daring	-0.14	0.46	0.0	-0.2	0.02	
90	Rambunctious	0.0	0.46	-0.15	0.06	-0.04	
91	Outspoken	-0.14	0.45	-0.09	-0.03	0.21	
92	Vivacious	0.31	0.44	0.0	0.03	0.1	
93	Dominant	-0.36	0.44	0.2	0.05	0.09	
94	Merry	0.38	0.44	-0.02	-0.15	-0.09	
95	Unrestrained	-0.01	0.43	-0.17	-0.1	-0.02	
96	Active	0.11	0.43	0.15	-0.14	0.02	
97	Boisterous	-0.15	0.42	-0.15	-0.01	-0.07	
98	Assured	0.01	0.42	0.23	-0.31	0.12	
99	Uninhibited	-0.06	0.42	-0.16	-0.2	0.2	
100	Playful	0.2	0.41	-0.12	-0.02	-0.09	
101	Happy-go-lucky	0.21	0.4	-0.21	-0.22	-0.21	
102	Vigorous	0.04	0.4	0.05	-0.15	0.12	
103	Friendly	0.37	0.39	-0.03	-0.17	-0.16	
