						
Naive	0.26*	-0.20	-0.21	0.12	-0.18	
Altruistic	0.25*	0.00	-0.03	-0.06	0.22	
Compliant	0.24*	-0.19	-0.02	0.01	-0.04	
Natural	0.23*	0.09	0.03	-0.17	0.14	
Suggestible	0.17*	0.00	-0.06	0.07	-0.16	
Selfless	0.13*	-0.12	0.00	-0.12	0.00	
Cold	-0.50*	-0.33	0.03	-0.02	0.10	
Harsh	-0.50*	0.03	0.06	0.08	-0.05	
Rude	-0.50*	0.08	-0.15	0.00	0.06	
Unsympathetic	-0.48*	-0.14	-0.01	-0.16	0.01	
Antagonistic	-0.47*	-0.09	-0.09	0.19	-0.02	
Abusive	-0.46*	0.01	-0.11	-0.03	-0.11	
Rough	-0.45*	0.16	0.03	-0.23	-0.11	
Inconsiderate	-0.43*	-0.06	-0.29	-0.03	0.05	
Egotistical	-0.42*	0.12	-0.09	0.18	0.09	
Combative	-0.42*	0.19	0.07	0.04	-0.09	
Callous	-0.41*	-0.03	0.04	-0.11	-0.21	
Domineering	-0.41*	0.40	0.15	0.10	-0.02	
Impolite	-0.41*	0.00	-0.25	-0.17	0.15	
Belligerent	-0.41*	0.09	-0.03	0.11	-0.11	
Ruthless	-0.41*	0.09	0.01	-0.07	-0.16	
Coarse	-0.41*	0.01	-0.13	-0.10	-0.17	
Abrupt	-0.41*	0.12	-0.10	0.11	0.07	
Insincere	-0.40*	-0.08	-0.11	0.01	-0.07	
Cruel	-0.40*	0.00	-0.04	-0.06	0.00	
Unkind	-0.40*	-0.14	-0.09	-0.12	0.01	
Insensitive	-0.39*	-0.09	-0.04	-0.27	-0.02	
Impersonal	-0.38*	-0.31	0.06	-0.07	-0.02	
Scornful	-0.38*	-0.09	-0.04	0.19	-0.04	
Uncharitable	-0.38*	-0.14	0.00	0.00	-0.01	
Cynical	-0.36*	-0.17	-0.11	0.04	0.19	
Bitter	-0.35*	-0.21	-0.06	0.27	0.06	
Uncooperative	-0.35*	-0.02	-0.16	0.05	0.04	
Demanding	-0.34*	0.19	0.15	0.31	0.00	
Egocentric	-0.34*	0.04	-0.12	0.13	0.12	
Conceited	-0.34*	0.11	-0.12	0.18	0.16	
Bigoted	-0.34*	0.02	-0.07	0.05	-0.17	
Intolerant	-0.34*	0.04	0.04	0.28	-0.08	
Unforgiving	-0.34*	-0.12	-0.02	0.13	0.09	
Disrespectful	-0.33*	0.00	-0.31	-0.14	0.23	
Tough	-0.33*	0.15	0.13	-0.24	-0.05	
Sly	-0.33*	0.16	0.04	-0.01	0.00	
Stubborn	-0.33*	0.07	-0.04	0.23	0.05	
Greedy	-0.33*	-0.05	-0.12	0.27	0.00	
Argumentative	-0.32*	0.16	-0.02	0.22	0.01	
Bullheaded	-0.32*	0.15	-0.08	0.12	0.03	
Boastful	-0.32*	0.29	-0.10	0.17	-0.14	
Critical	-0.32*	-0.01	0.06	0.31	0.17	
Rebellious	-0.30*	0.15	-0.24	0.08	0.29	
Deceitful	-0.30*	0.03	-0.15	0.07	-0.06	
Sarcastic	-0.30*	0.03	-0.09	0.16	0.14	
Underhanded	-0.29*	0.08	-0.08	-0.05	-0.16	
Vindictive	-0.29*	0.03	0.05	0.11	- 0.28	
Suspicious	-0.29*	-0.18	0.05	0.24	-0.04	
Devious	-0.29*	0.16	-0.10	0.09	-0.11	
Thoughtless	-0.29*	-0.07	-0.26	-0.09	0.00	
Ungracious	-0.29*	-0.16	-0.19	-0.15	0.01	
Prejudiced	-0.28*	-0.01	-0.03	0.07	-0.08	
Uncouth	-0.28*	0.02	-0.20	-0.18	-0.08	
Tactless	-0.27*	-0.01	-0.21	-0.06	-0.15	
Manipulative	-0.27*	0.16	0.08	0.13	0.02	
Cunning	-0.27*	0.22	0.09	-0.06	0.02	
Opinionated	-0.26*	0.22	0.07	0.11	0.03	
Unruly	-0.26*	0.22	-0.25	-0.07	-0.02	
Rigid	-0.26*	-0.11	0.24	0.01	-0.18	
Obstinate	-0.26*	0.03	-0.05	0.24	0.09	
Stingy	-0.25*	-0.13	0.04	0.22	0.01	
Nonreligious	-0.25*	-0.08	-0.16	-0.17	0.19	
Smug	-0.24*	0.01	0.01	0.10	-0.01	
Skeptical	-0.24*	-0.23	0.03	0.11	0.22	
Vain	-0.23*	0.05	-0.13	0.21	0.16	
Irreverent	-0.18*	-0.05	- 0.14	- 0.11	0.09	
Crafty	-0.16*	0.11	0.06	-0.10	-0.04	
Masochistic	-0.14*	-0.08	-0.06	-0.01	-0.08	
Self-seeking	-0.11*	0.05	0.04	0.07	0.08	
Extroverted	0.06	0.64*	-0.07	-0.01	0.07	
Talkative	0.09	0.62*	-0.15	0.13	-0.07	
Aggressive	-0.30	0.61*	0.09	0.00	0.02	
Sociable	0.27	0.59*	-0.01	-0.04	-0.07	
Social	0.25	0.58*	-0.04	0.00	-0.08	
Assertive	-0.15	0.53*	0.15	-0.08	0.14	
Bold	-0.18	0.53*	0.03	-0.19	0.05	
Verbal	-0.03	0.53*	-0.08	0.05	0.11	
Enthusiastic	0.29	0.50*	0.02	- 0.03	-0.01	
Spirited	0.23	0.49*	-0.01	-0.02	0.10	
Confident	-0.07	0.49*	0.26	-32	0.10	
Communicative	0.25	0.49*	0.04	-0.02	0.10	
